,mcc,TP,FP,TN,FN,accuracy,precision,recall,f1score,sensitivity,specificity,false_omission_rate,auc
Rat102,0.9451270732131934,4729.0,159.0,1032602.0,390.0,0.9994710371141172,0.9674713584288053,0.92381324477437,0.9451384031178176,0.92381324477437,0.9998460437603667,0.0003775440661689539,0.9618296442673684
Rat133,0.8186604028769576,6715.0,1650.0,1028215.0,1300.0,0.997157667553089,0.8027495517035266,0.8378041172800998,0.8199023199023199,0.8378041172800998,0.9983978482616653,0.0012627305090260948,0.9181009827708826
Rat131,0.9408887222168448,42962.0,1325.0,989734.0,3859.0,0.9950052029136316,0.9700815137625036,0.9175797185023814,0.9431004961145014,0.9175797185023814,0.9986630462969409,0.003883884045076807,0.9581213823996613
Rat090,0.9388245567326573,28754.0,1793.0,1005496.0,1837.0,0.9965024858365129,0.9413035649981994,0.9399496583962603,0.9406261245052175,0.9399496583962603,0.9982199746051034,0.0018236273407105693,0.9690848165006818
Rat180,0.9132205400711348,40007.0,1750.0,990530.0,5593.0,0.9929250009635026,0.9580908590176498,0.8773464912280702,0.9159426262348753,0.8773464912280702,0.9982363848913614,0.005614768457308987,0.9377914380597158
Rat097,0.9183977889159511,25524.0,689.0,1007862.0,3805.0,0.9956700196554515,0.9737153320871323,0.870264925500358,0.9190882575348386,0.870264925500358,0.9993168416867367,0.00376111902434299,0.9347908835935475
Rat115,0.8495747153997948,4329.0,293.0,1031979.0,1279.0,0.9984853740316799,0.9366075292081351,0.7719329529243937,0.8463343108504399,0.7719329529243937,0.999716160081839,0.0012378321774426135,0.8858245565031163
Rat093,0.8565334051449883,2063.0,189.0,1035117.0,511.0,0.9993255482329364,0.9160746003552398,0.8014763014763014,0.8549523414836304,0.8014763014763014,0.9998174452770485,0.0004934204173699437,0.9006468733766749
Rat086,0.9477674289682237,6518.0,225.0,1030646.0,491.0,0.9993101321925464,0.9666320628800237,0.9299472107290626,0.947934845840605,0.9299472107290626,0.9997817379672141,0.00047617338918106903,0.9648644743481383
Rat140,0.8507106595479305,7720.0,905.0,1027456.0,1799.0,0.9973946891740857,0.8950724637681159,0.811009559827713,0.8509700176366843,0.811009559827713,0.9991199588471363,0.0017478661750489433,0.9050647593374246
Rat085,0.9207976042664218,4905.0,583.0,1032131.0,261.0,0.9991868038694262,0.893768221574344,0.9494773519163763,0.9207809273512296,0.9494773519163763,0.999435468096685,0.0002528109477795256,0.9744564100065307
Rat166,0.9127037987900215,25566.0,589.0,1007442.0,4283.0,0.9953058157012371,0.9774804052762378,0.8565111058996951,0.9130062138418685,0.8565111058996951,0.9994156925729467,0.004233363809335541,0.9279633992363209
Rat128,0.9187830746270516,15492.0,802.0,1019679.0,1907.0,0.9973898716614638,0.9507794280103106,0.8903959997701018,0.9195975425162497,0.8903959997701018,0.9992140960978205,0.0018667052994070005,0.9448050479339611
Rat138,0.944671159341125,24827.0,1117.0,1010219.0,1717.0,0.9972694338459167,0.956945729263028,0.9353149487643159,0.9460067062947721,0.9353149487643159,0.9988955203809614,0.0016967476204028714,0.9671052345726386
Rat135,0.9341365548770064,21061.0,923.0,1013905.0,1991.0,0.9971923536439665,0.9580149199417758,0.913630053791428,0.9352962074784616,0.913630053791428,0.9990904862695944,0.001959846283477836,0.9563602700305113
Rat152,0.9405674011547789,26726.0,655.0,1007838.0,2661.0,0.9968050256291672,0.9760783024725175,0.9094497566951373,0.9415868094701241,0.9094497566951373,0.9993505160670426,0.0026333524328079495,0.9544001363810899
